Product Id,Review Date,Reviewer,Review,Rating,Location
7748194,7/22/2011,Mina C,"These are very cute nude peep toes. However, there are several things worth noting: I am normally a size 7 and got these in 7. My heels kept slipping out of the shoes as I walked in them. I could not wear them until I put in heel inserts (these are sticky inserts you put in the back part of your heel to add a layer). I am not sure if the shoe is half size larger than marked, because the rest of the shoe fits as it should - I would not necessarily order a half size down. The opening in the peep toe is a bit large - after a few hours of wearing, my toes (where the nail meets the skin) started hurting, especially around the big toe. I have other peep toes with smaller openings which do not have this problem. The heel is quite high, which I love, but is not ideal for walking more than a few minutes.",3,"from Los Angeles, CA"
7648721,1/26/2011,From N,"What a classy bag! And looks very expensive...this is my 4th Michael Kors collection. He sure does makes quality products, well made, and durable that won't hurt your pocket book as compared to other name brands.",1,NULL
8020513,10/4/2012,Anonymous,Quality is just not there. The hairs look like they would last a couple wears before they would start to fall off in spots. Cute but I'm not taking a chance at this price point.,NULL,NULL
7902882,7/11/2012,Mandy,NULL,NULL,from Massachusetts
7830734,12/5/2011,Anonymous,"This might be the best money I ever spent. Literally, I get a compliment every time I wear them. The almond shaped toe makes them surprisingly comfortable. Highly recommend.",2,from Omaha NE
7799912,2/27/2012,Anonymous,I love love love this bag! It is my second MK bag and it well worth the money. The quality of the material is great and it has great structure and organization. I am able to fit everything I need for a night out into this bag. MK has got a fan for life with this one.,1,"from New York, New York"
7971475,9/2/2012,Anonymous,"A bit of platform would definitely help with the steepness of the heel. I was also pretty disappointed in the suede color. It is certainly not crimson. The color in person is more of a rusty red, not the bright red in the photos. Unfortunately returning the shoes.",NULL,NULL
8163589,5/8/2013,Anonymous,"Such a cute dress, but runs big Im 58 120 lbs and the size 2 was really big on menot fitted like it shows on the model Cute dress, but I think even a 0 would be a little big",NULL,from United States
7409732,7/8/2013,Anonymous,"I love these shoes They are comfortable, cushioned, and very fashionable I have had no issues with their quality and I always get compliments on them I will say that the first few times I wore them, the front part was a little stiff but they broke in very quickly and now they are super comfy I have the tan color and they go with everything I am debating getting the same style in pink or blue They are so cute Definitely buy them ",NULL,NULL
7934722,4/10/2012,Dee D,"I am so happy that I purchased this bag. I love burnt orange, which is my favorite color. I am usually into browns and blacks, but this bag made me into a color girl. I usually only carry Dooney & Bourke or Brahmin bag,s but this bag makes me want to convert solely to Michael Kors. Love Michael by Michael Kors. I will purchase more.",1,"from Spartanburg, SC"
8184007,3/15/2013,Lisa K,Stylish and practical Size medium fits an 8 10 510 and 150 pounds with enough room for a suit jacket under it Asymmetrical zipper is really sharp looking Can just tie the belt without zipping it and it still looks good Great tomato red color a red with orange tones Prominent gold trim as you can see on the picture Couple downsides the belt buckle rattles and the MK logo zipper pulls are a bit much for me But not so much that Id return it Removable hood is a great feature why have a rain coat with no hood,NULL,from Atlanta
7538193,12/1/2010,Anonymous,"I absolutely love this watch! I fell in love with it at Nordstrom but fought the urge to purchase it. Nonetheless, this did not stop me from searching for it tirelessly on the internet. When I found it on Zappos for much less, I could not resist. Plus, shipping is free and there is no tax. Amazing! To make the deal even better, Zappos upgraded my shipping and I received it within 48 hours of placing my order. Love this watch and I love Zappos!",2,NULL
7966566,10/24/2012,Joanna K,"Received this as a gift for my birthday and I love it Its small so my wallet doesnt fit, but there are awesome little pockets inside for my moneychangecredit cardsIDs so its perfect to just carry around as a bag just for my essentials which is fantastic for traveling I keep it on my person on the plane, and it gives me access to my phonemoneycredit cardsIDiPodheadphonesgum all the stuff you need or may need while flying thats just a pain to have to bend over and rifle through a giant hand bag for especially when you have to keep everything underneath the seat in front of you The color is also great for fall I receive so many compliments on this bag",NULL,from NYC
7934652,1/24/2013,Rasheed,Teachers will love this bag It has the right amount of space and the perfect width It can store books and all of your graded papers Yay Big hit with the misses,NULL,from New York
8000836,2/26/2013,Anonymous,I do not know how the boot felt because I couldnt stick my foot into it I have very narrow feet and I was unable to squeeze through the opening Who is this intended for A bird,NULL,NULL
7859407,5/24/2013,Anonymous,I didnt realize this was a canvas bag the color is a big blah the style of the bag is nice and has good use utility would have given it higher marks if it was not so dark and different material they do have this in PVC vs canvas Try that one instead,NULL,NULL
7934652,4/3/2013,Anna,"I love the color I got the yellow and yellow is my favorite color but it has to be the right yellow not neon but sunshine yellow I think the price is a little high for such a simple bg but it is the kind of purse I like with not too many pockets just enough for a pen or two, some hand sanitizer and my phone then a large compartment for makeup and wallet I just love it I cant wait to carry it tomorrow I posted it on my Facebook page and everyone says that purse is definitely ME",NULL,NULL
8009870,6/29/2012,Lisa,"This is my new favorite summer dress! I'm going to buy it in pink and brown--because everytime I wear something else I'm sad. I want to wear it every single day! It's very flattering and the most comfortable dress I own. You can dress it up with pearls or jewelry, or wear it after a day on the beach with flip-flops. Ladies, BUY THIS DRESS!",3,from Throggs Neck New York
7894011,2/26/2013,Anonymous,I love these They showcase the feet very well The only con is they are snug as previous customers mentioned They also could have used arch support They were not accommodating for all the walking that I did while vacationing on a cruise However I own the white and black pair and I love them and got a lot of compliments,NULL,"from Baltimore, Maryland"
7902362,4/3/2012,NYOMI M,So cute my child saw theme and as soon as -possible she threw off her shoes and started strutting it. She was so cute. I bought them she would not take them off... But cost a lot of money!,2,from CALIFORNA
8105319,1/29/2013,PJ i,"FABULOUS Great dress for any body type I am a bit on the pear side and this did wonders to conceal and flatter Got lots of compliments on this dress You cannot beat the price I ordered a large and normally wear a size 12 dress The large was perfect I am 57 and the dress was the perfect length, even with heels No hemming, not having to let out and just right Two thumbs up",NULL,from New Jersey
7646193,4/20/2013,Anonymous,"Perfect minimalist clutch that goes with everything Ive gotten a lot of compliments on it I love the handle, dont think Ill ever buy another clutch without one The metal around the handle is a brighter goldtone than it looks in the picture but it works well for the piece",NULL,"from Portland, OR"
7880710,8/20/2012,Anonymous,"Hi there, ladies and gents, So I find myself writing this review on this lovely classic. I am an avid MK watch collector and this piece is a show stopper. The Roman numerals and chocolate face makes the watch stand out. The face is the perfect size.You will love this watch.",NULL,from Napa
7761531,7/29/2012,Anonymous,The Michael Kors Beach Sandals are the perfect sandals for summer! They are comfortable and are super cute! I love these shoes!,NULL,"from Birmingham, Alabama"
7907601,5/4/2012,Ali G,"Delivered quickly, perfect condition. No complaints! The actual color is a little bit lighter, but it may also depend on your monitor.",NULL,"from Albany, NY"
7946887,5/14/2012,Anonymous,"This is a very interesting and versatile dress. The cut is unique and will flatter a variety of shapes. The fabric is breathable and very good quality. My size (1x) was out of stock at the time I ordered, so I went with the 2x. The larger size seems to make it more versatile to drape. Though the tag says wrap in front and tie in back, doing the opposite works well also.",NULL,"from Toledo, OH"
7642309,8/9/2011,CC,"I absolutely love this piece I have it in silver and it is stunning Everyone compliments this watch, the band is very unique and interesting It is such a classy piece, I am very satisfied",NULL,from Los Angeles
7593542,3/21/2013,Alice,These are truly beautiful shoes They fit nicely and while the height of the heel makes them a bit uncomfortable to standwalk in for long periods of time they are surprisingly comfortable I receive complements on these shoes every time I wear them which is often Get them You wont regret it,NULL,"from Albuquerque, NM"
7648835,10/14/2012,Anonymous,"A very stylish crossbody! It holds more than you think, for reference it holds my iPhone, mirror, Chapstick, small wallet, pen, gum, and it still has more room. If you're worried about the size do what I did and get everything you want to put in the bag and measure it! Then get the dimensions of the bag in the ""item information"" tab to the left and see if your items will fit. I ordered the crossbody in the color luggage and it goes with all of my outfits from sweats with Uggs to jeans, boots, and a cute pea coat.",NULL,NULL
7954054,3/8/2013,Anonymous,"Im loving these shoes the little platform makes them super comfortable, despite the high heel I have a fairly wide foot, and the toe box on this shoe is very accommodating I do find they run a little big, though I am a true size 8, and my heel tends to slip out of this shoe a bit I will need some inserts to prevent this, as I think a smaller size would not be very comfortable",NULL,"from Phoenix, Arizona"
7646718,2/7/2012,Cathy,"Stylish and comfortable shoe. Perfect heel height. Unfortunately, the vamp is cut very low and did not look good on my foot. So, sadly, I returned them.",2,NULL
7799921,9/18/2012,Anonymous,"I received this bag for my birthday and I love it. Soft leather, the gold hardware adds some bling. I got this bag in the color luggage and it is simply gorgeous!",NULL,NULL
8126974,4/14/2013,Alissa T,"I love these, they are so cute I have narrow feet so i was afraid these might be too big and gap but they dont at all They are a little loose but no gapping Fit true to size same as my other MK shoes I would definitely recommend",NULL,"from Philadelphia, PA"
7633535,5/5/2011,Anonymous,"These espadrilles have a great look and are pretty comfortable, but do snug on the ankle bone. The height is just perfect and the color is perfect for most summer fashion.",2,from Los Angeles
8085667,12/27/2012,Anonymous,I ordered these earrings as a gift for my 26 year old daughter and she loves them! They are very stylish - the rose gold and stones are a beautiful combination. I highly recommend these earrings!,NULL,NULL
7966625,6/10/2013,Anonymous,I bought the hot pink tote and I love it It is a great summer bag and I receive a lot of compliments,NULL,NULL
7591941,1/6/2012,Eurika E,"I am not very satisfied with these shoes. The reviews were so positive that I was really looking forward to a fabulous shoe, but they cause blisters (hoping after they fully break in that won't happen)...also they are practically identical to the Bandalino's that I bought and cost about more. I think I'll say away from Michael Kors in the future.",1,"from Weirton, WV"
7646312,1/10/2012,Anonymous,Love this bag! Its a great comfy size with a nice opening for the strap! Light weight and beautiful!,1,NULL
7966602,7/24/2012,Connie,"It's gorgeous, big enough to fit everything! This wallet is a must. I definitely recommend it.",NULL,"from Newark, NJ"
7439207,2/11/2013,Anonymous,"Well I have to say these are my go to flats I have bought them twice My previous pair was great so I didnt want to reinvent anything Great for my feet, super comfy I have issues with my feet and these flats have worked for me so far",NULL,"from Woodland Hills, CA"
8079624,2/22/2013,Jo,"Great coat I had been looking for a new down coat for winter to replace my old North Face Metropolis coat but didnt want spend quite as much This coat was the perfect find Super cute and it fits great The chevron design makes the coat look sleek and fashionable without looking too puffy as most other down coats do The fur around the collar is a nice touch and gives it a classy look The coat is very well made and also extremely warm, much warmer than I expected I live in Chicago and the winters get pretty bad here, but this coat has been great so far And the cuffed sleeves really help keep the cold out well",NULL,"from Chicago, IL"
7887289,12/17/2012,Emily,"Wow, this coat was so snug on my chest (34 DD) in a large. Also, the Zipper was very rigid and difficult to zip. The shell was stiff and inflexible. My first ever Zappos return. I did, however, find the perfect DKNY coat that looks similar, but softer, warmer, and true to size.",NULL,from cleveland
7761656,7/23/2012,Cindy,I love these shoes. I bought them for my wedding so I don't know how comfortable they will be wearing them all night but from other reviews they should be just fine. Everyone that has seen them so far loves them too.,NULL,from Salt Lake City
7894011,2/27/2013,Anonymous,"So cute I just got them yesterday was actually able to wear them out today Since its made of the jelly material I would suggest to watch out for scrapes But other than that, love Will be getting the white pair",NULL,NULL
7725520,3/11/2012,Anonymous,"I love this bag! I get so many compliments on it. The zipper across the top holds the many things that can fit inside this bag. It is not large, but more medium sized. I bought it solely on the brand and color because it is a color that is versatile throughout the year. The shiny gold inside gives it that much more class that it will make you feel proud to carry it around.",1,"from Chicago, IL"
7615325,5/2/2010,Anonymous,These are the best flats I have found. They are very soft and look great either for casual wear or dressed up. They are also very comfortable. I have them in silver and black.,1,"from Venice, CA"
8109975,11/13/2013,Mikiya M,The cutest baby shoes I have ever seen and very affordable When I first received them I open the box and there were grease stains inside and on the suede part of one shoe I immediately called Zappos because I didnt want them to think I had ruined them They apologized told me to keep them and sent me out a new pair which I received the very next day I love Zappos,NULL,"from los angeles, California"
8089505,3/22/2013,Nena,I got these Michael Kors shoes today Beautiful shoes but the Tangerine color online looks much brighter then the actual color on the shoe I have short wide toes so I have a lot of space in front of the shoe Going to return them,NULL,from Staten Island NY
8036788,1/16/2013,Anonymous,"I got this shoe in black, not Cheetah It is a super cute take on a classic black pump The heel is high enough to be sexyfun, and low enough to wear all day at work Love it",NULL,"from New York, NY"
7705025,10/30/2012,Gracie,This tote was way more prettier in person. Perfect size and very trendy for work..also goes well with casual wear! I love it!,NULL,from Florida
7907451,7/5/2013,Natalie,"I love Michael Kors, they are super fashionable and priced well I have the larger version of this but was always digging to the bottom so I decided to get this one I love it the color the leather everything It is an amazing bag I have convinced my mom and friend to buy one This bag is for all ages",NULL,from phoenix
8126959,5/25/2013,Brenda,"I love these shoes Heel height is perfect, very comfortable I purchased to go with a specific dress but the are very neutral and I have worn them with many other dresses",NULL,NULL
7830091,6/23/2013,Anonymous,I love these shoes Comfortable design and very stylish They fit true to size and are very well made,NULL,NULL
7907424,5/11/2012,S.i. d,"Amazingly beautiful bag. Deep, rich color. I love that the leather is so soft and supple, yet the bag holds its structure and stands upright without falling over or bending in. I love this bag!",NULL,"from San Jose, California"
7592128,4/28/2012,Anonymous,I bought these shoe and think they are amazing so comfortable and they do not crush your toes like most heels. They are definitely worth the money.,NULL,"from Akron,oh"
7439171,12/24/2009,NULL,"Amazing. These shoes are so sexy. I got them in the ""black mesh"" style. I have naturally wide feet and sometimes have a hard time fitting my feet into these kinds of sandals, but these fit like a charm! They were true to size. I usually wear a 7.5 and I got a 7.5 and they fit perfectly. I'm tempted to buy another pair just for ""reserve"".",1,from Hawaii
7836058,8/29/2011,Anonymous,This is a gorgeous bag and really worth the money. Holds lots and looks professional.,1,"from Alpharetta, GA"
8195285,6/6/2013,Anonymous,I have this bag It is light to carry and very comfortable The large ring on the sides has a section that depresses so you can remove the long strap The short strap is not removable I get lots of compliments on this bag Even a few guys have ask about it as a gift for their friend girls Gotta love Michael,NULL,"from Little Rock, AR"
7799921,2/15/2013,Earnestine A,"I received this purse today Love it My neighbor was visiting when it arrived She loves it also I got the black patent python it is so stylish and truly beautiful Very soft, very light, and very comfortable on the shoulder It is just the right size for me and I am sure I will get much wear out of this bag Perfect for the spring styles It can be dressed up or down equally beautiful with a dress or jeans It is my Valentines gift from my husband Thank you honey",NULL,"from Porterville,Ca"
7934644,6/22/2012,Anonymous,"I bought this Marina Leather Large Drawstring - perforated. The shape is very cute. But after a couple of days I used this bag, the inside lining sheds all over everything to the point that the bag is not usable without embarrassment.",1,NULL
7648740,6/6/2010,Ann P,Bought this tote in silver for my mother. She loves it. So stylish and so practical. She uses it every day. Thamk you Michael.,1,from Waterford MI
7859960,12/3/2011,Anonymous,"Love this little bag! Just big enough to hold the essentials. Front pocket perfect for cell phone. Even fits my large wallet. Crossbody look one of the best, hugs the body and feels elongating to the eye. Smooth touchable leather. Got the black and love it!",1,NULL
7439171,4/27/2010,Anonymous,"I tried these on in the royal blue (HOT!) at a department store and the mesh was very comfy. However, the insole is plastic with no padding, and I could tell that the balls of my feet would hurt if I walked around NYC in these... so I didn+ó-Ç-Öt buy them.",NULL,"from New York, NY"
7761463,2/13/2012,Anonymous,"I'm fully in love with these shoes!! They look just like they do in the picture, and are really quite comfortable. True to size. I was worried about the elastic-y top (sometimes that means a shoe will give me blisters the first few times I wear them), but this elastic keeps the shoe snug and comfortable without any uncomfortable rubbing whatsoever.",2,"from Madison, WI"
8042233,9/7/2013,Amy,"Love these shoes She gets lots of compliments Bought them for school where she wears khaki pants for a uniform or she can wear black uniform dresses Pictured is exactly what you get Run a tad biglike Converse flat sneakers My daughter wears a size 1 in ballet shoes and 2 in sneakers Although size 1 probably fit her better, I did go with the 2 only because she wears lots of other shoes with the warmer months right now",NULL,from Wisconsin
7705025,3/24/2013,Anonymous,"Am planning on ordering this bag, but will have to look elsewhere I found a beautiful Navy on another site and am surprised that Zappos is carrying this bag with the gold inside Read a comment on another site re the gold interior chipping and a response from Michael Kors company that they are no longer making this tote with the gold interior because of the chipping and flaking Have seen it with a beautiful tan colored interior",NULL,NULL
7593542,4/22/2013,Anonymous,"These heels are surprisingly comfortable considering how tall the heel is My foot does get tired after awhile being onpoint in these shoes, but the shoe itself is comfortable and looks great Sometimes I wear a 10 and sometimes a 95 in this shoe it was a 95",NULL,"from Oklahoma City, OK"
7761483,5/15/2014,Jackie i,"These shoes are a beautiful red and incredible comfortable The heel is slightly shorter than my other Michael Kors heels, but still a highly fashionable shoe Goes well with dresses and jeans",NULL,from los angeles
8038292,1/9/2014,Margo b,One gorgeous purse without the hassle of going to the mall,NULL,from Miami
7705025,10/31/2012,Anonymous,"Nice bag, posh, good leather. Has two problems: 1) the interior is poorly organized (one single big space and a couple of pockets); 2) not a real ""tote"" - it is rather small (I planned to get my 15-inch notebook in it, not such luck).",NULL,NULL
7907505,4/18/2012,Anonymous,"Fabulous bag! The leather is super soft and this bag is loaded with organizational pockets inside. I got the vanilla and it's gorgeous. Love that it snaps closed for quick access to my cell. Perfect size, too. Excellent quality, great color and lightning fast delivery. Thanks Zappos.",2,NULL
7799734,2/2/2013,Crystal,"Love this Michael Kors bag, had to buy it Its the perfect size for me holds everything including my iPad mini I will be using this bag for a lifetime Zappos is a great way to shop Got my items in no time and exactly what I ordered",NULL,NULL
8085980,6/20/2013,Change,"Absolutely love these MK sandals, brought them for my stylish 8 year old, they look great and stylish Big girl shoes for little feet MK makes the best sandals out now Looks great for the price The plastic at the toes are uncomfortable at first, but thats a given with thong sandals",NULL,"from Brooklyn, ny"
7799734,3/19/2013,Anonymous,"LOVE this bag This is my first Michael kors bag and it is perfect I love that its easy to organize with the pockets and divider, not to mention you can adjust the strap drop a little Did not get this color went with white leather straps, but this bag is great for any time of the year",NULL,NULL
7705009,9/6/2011,Kate N,"I must start by saying that Zappos' Customer Service is the best around. I ordered the larger size in this bag. It arrived promptly, but had a small defect. I found the medium size later in my search and Zappos sent it to me the very next day. As always, the return of the other bag was super easy. Not many stores can claim this kind of excellent customer service. By the way, I love the second bag! I'd highly recommend.",1,"from Birmingham, AL"
7824304,12/4/2011,Anonymous,"Fabulous boots. The leather is supple but does not droop at the ankles. Fit is comfy and true to size. I wear these with skinny jeans, short skirts, sweater dresses and anything else I can find to pair them with. I'm finally starting to not feel guilty about spending so much on them. These will never be banished to a dark corner of the closet.",2,"from Raleigh, NC"
7444944,1/19/2014,Anonymous,I got this watch for my boyfriend for Christmas and Im glad of the choice I made This watch is classy and the big face is just right for a big guy,NULL,NULL
8068036,11/1/2012,Miss B,"This is a lovely coat. I'm 5""2, 125 lbs and normally wear an XS / 0 or 2. I've never tried Michael Kors or Michael before so I went by the size charts...sort of. Usually size charts are a bit off so I got the 4P just to be on the safe side, or so I thought. It's too tight! I need to get a 6P. The coat is a lovely color Orange Spice, but for some reason in person the gold toggles just sort of make it look cheap. I love the huge fur collar muff thing but it's so big it makes the coat feel too trendy. It's like I have a faux raccoon wrapped around my neck. I'm not as excited about this in person as I was about it online so I think it must go back. I'll wait for it to go on sale and if I still like it I will purchase it then.",NULL,from Boston
7762544,6/17/2011,Anonymous,"Not quite what I expected. When the bag arrived the leather looked dried out and the gunmetal color looked worn around the ruched areas. Very disappointed. I used some leather conditioner from Frye on the bag and it made a difference - the leather looked more conditioned and the color looked shinier. Will keep the bag because it's the right size, but I'm still not completely satisfied.",2,from DC
7940600,3/29/2012,HappyWomanInMiamixoxo,"This is a great cardigan! How lovely it is! It's soothing to even look at it, so comfy, great material. I am a 36 C-D and have an athletic built so I ordered the small and its just perfect! Hemp (beige) color is just beautiful. A must buy!",NULL,"from Miami, Florida"
7799921,5/21/2013,Anonymous,"Love, love, love This is my favorite bag I also have this handbag in the luggage color, that is how much I love this bag If there were other colors offered, I would get those also",NULL,from Texas
7439171,10/25/2013,Anonymous,"Love this shoe Bought it last minute for a girls trip to Vegas and they were perfect for both nights out Given the amount of dancingwalking involved, I was very happy with how comfortable they were and not to mention fun Got lots of compliments on themdefinitely a great purchase",NULL,"from Minneapolis, MN"
7439171,5/4/2009,Ashley,"Stunning Shoe -I actually tried this show on in a 7 (which I am, and always am in MK), it was soo small, the zipper barely made it up my foot without pinching the skin. They didn't have a bigger size, so I JUST ordered an 8 off Zappos (they were out of 7.5). I think these are the sickest looking shoes and MK's are always pretty comfortable. I'm hoping the 8 fits. I'd suggest ordering a half size to a whole size up though.",2,"from Stamford, CT"
7954052,4/22/2014,Anonymous,"Very pretty but a little small for me If you have high arches, the zipper is hard to zipper Would deal with pain for fashion, but they are definitely perfect for capris, not so much for biz casual long pants",NULL,NULL
7830088,2/16/2012,Linda,Shoe is great style and would have been great to wear with anything but shoe runs a little big in the back and they are hard to even walk in. Couldn't even take 2 steps before they started to hurt.,1,from Chicago
8079624,3/26/2013,Lynn c,"What a fantastic purchase Well made, stylish, cozy and a little different from the rest of the black pack True to size Good value I expect to be wearing this coat for a long time",NULL,from Seattle
7934726,3/14/2012,Anonymous,"Looks better on the website than in person the colors are not that vibrant and the leather is lighter...in my opinion, it's overpriced and quality is not up to par. Sending it back.",1,NULL
8079624,12/28/2012,Anonymous,"Finally! A down coat without the bulk. I was looking for a longer down coat without a belt that I could wear to an upcoming trip to Europe. I ordered this yesterday and got it today-love Zappos! It fits great, although I can't see wearing anything too bulky underneath as it would be snug. It is so figure flattering and stylish. Can't wait to wear it! The fit is true to size. I love that it shows off my waist. It is light weight and warm. Not sure if it will be super warm in extreme cold like The North Face for example, but for normal winter temperatures it is perfect.",NULL,NULL
8128595,4/15/2013,Anonymous,This skirt is very comfortable Very well made Only complaint is that the material picks up lint way too easily I have gotten many complements on the fit,NULL,"from Jacksonville, FL"
8056576,10/25/2012,Anonymous,Really soft wide leather belt. Green is exactly like on photo! Bought it to where with shoes http://www.zappos.com/joan-david-quella8-wine-multi-reptile. Look great together! Super fast delivery! Thank you Zappos!,NULL,"from Red Oak, IA"
8065981,1/21/2014,Maggie C,Love this purse It hascros function pockets to hold all your necessities including a huge padded pocket for your tablet or ereader I love the detachable shoulder Straps for shoulder or crossbody Functionality Overall love it,NULL,"from Troy, Michigan"
7966663,7/2/2012,Anonymous,"I ordered this bag because I wanted a slim, crossbody to carry while shopping, running errands, taking my grandkids to the park, garage saling, etc. Once I got it home, I realized the bag was just too small to carry what I need. My checkbook sized wallet did fit, however it had to be put in sideways and barely left any room for anything else. I am giving this bag overall and style ratings of four stars because it is very well made, I like that the top zips closed for added security, and the nylon is quality and would easily wipe clean. The long crossbody strap is wide enough for ease of wear. As usual, Zappos quick shipping and customer service were stellar. If you carry a small wallet, and don't need to carry sunglasses and makeup bag, etc. this would be a great bag.",NULL,NULL
8124888,6/29/2013,Anonymous,I absolutely love this tankini top Its slimming and flatteringespecially to those of us who have a stomach and want to draw attention away from that area The quality is top notch as expected from a MK product Super purchase,NULL,NULL
7439207,8/13/2013,Anonymous,"I got the black ones, and they look okay in the pictures, but once I was wearing them, they have like a grandma shoes look that I didnt like Im giving these away to my sister",NULL,"from Los Angeles, CA"
7830140,2/5/2012,Anonymous,"Love the shoes; however, I am exchanging for a smaller size. This shoes runs a bit big and I am a size 10. Will be purchasing a size 9.5.",3,"from Oxon Hill, Maryland"
7980091,6/11/2012,Emily,"I am really surprised there a no reviews for this shoe. It is so cute. The heel really gives it that sexy look. I do, however, recommend you order a half size up. They do seem to run a little narrow. Overall, cute, comfortable and great pink color the summer.",NULL,"from Willacoochee, Georgia"
7830139,3/19/2014,Anonymous,Purchased for my middle school daughter very elegant on her foot good for getting dressed up,NULL,from Boston
7538193,7/18/2011,Connie W,Looks far more expensive than cost. The band is a combination of polished and brushed gold. I hesitated on buying this watch because I have a small wrist but I love the over sized face. I have received many compliments! The only down side is that I had to take to a jeweler to have links removed from the band.,2,"from Small Town, Texas"
8085676,6/28/2013,Anonymous,"I absolutely love this bracelet I love the look, weight chunkiness of it However, I have only had it a couple of months, and the gold is already starting to turn",NULL,NULL
7934652,12/31/2012,Anonymous,"I decided on this bag because I really wanted the LV neverfull, but don't like the logo or the price tag. This bag is great! I use it as a diaper bag and purse. It fits everything I need and have found the handles to be strong and the bag sturdy. The color is nice and goes with nearly everything. Overall, a great purchase.",1,from Long Island
7859989,12/7/2011,Anonymous,"I have this bag and love it! I get compliments on it every time I use it. I didn't realize that Zappos carried MK bags...now I know where to buy next time. Love this item. Can't wait to get another one. It's so big and spacious, and it makes a statement and looks sharp in this color scheme. I see the envy on girls' faces when I carry this baby around.",2,NULL
7409732,6/30/2011,Anonymous,"Zappos is so awesome My order came beyond promptly And this pair of sandals is awesome I ordered a size 6 I normally wear a 6 or 65 and the 65 was too big The 6 fit perfectly These shoes are very good quality, true to size, comfortable, and super cute They are just dressy enough to dress an outfit up or down The snakeskin is nice and shiny And ,the silver name plate isnt gaudy",NULL,NULL
7859984,8/16/2013,Sherry,"I love this bag I tend to carry my entire life with me, and I have enough room for everything I need although if I want to pack a book or lunch for myself, its a pretty tight squeeze The fabric is easily wipeable and the interior compartments make it really easy to organize everything Ive gotten tons of compliments on this bag The brown color goes with everything and the construction is great this bag should last me for years to come I couldnt be happier My hubby got me the small walletiPhone case in black as well theyre a perfect combination, not too matchymatchy",NULL,"from Washington, DC"
7762526,6/14/2011,Anonymous,"I absolutely love my new purse. The leather is soft, yet very durable. It's my every day purse, can go from casual to dressy. It is very roomy.",1,"from La Verne, California"
7581576,9/8/2010,Anonymous,"I ordered this watch the evening of Labor Day and received it yesterday - wow, what service Zappos! It\'s a beautiful watch and I couldn\'t be more happy with my purchase. Keep doing what you\'re doing!",1,from MN
7966625,8/3/2013,Ambr s,I just love this bag Its the perfect size and all the inner pockets help keep me super organized I want another one in a different color I would recommend this bag to everyone,NULL,NULL
7830092,7/18/2012,Anonymous,"Love these shoes. They are really cute, really good quality, and very comfortable considering the height. I don't normally wear 4 inch heels but these were a breeze for me. I wore them to my rehearsal dinner so I was in them walking around from table to table for hours. I couldn't believe how comfortable they were! The peep toe is just the perfect amount of toe. They run a TAD big, so order down in you're between sizes. I'm either a 6 or a 6.5 and was definitely a 6 in these.",NULL,NULL
