"ID","variable","value"
"275","securities","1"
"276","securities","1"
"277","securities","0"
"278","securities","0"
"279","securities","0"
"280","securities","0"
"281","securities","0"
"282","securities","0"
"283","securities","0"
"284","securities","1"
"285","securities","0"
"286","securities","0"
"287","securities","0"
"288","securities","0"
"289","securities","1"
"290","securities","0"
"291","securities","0"
"292","securities","0"
"293","securities","0"
"294","securities","0"
"295","securities","0"
"296","securities","0"
"297","securities","0"
"298","securities","0"
"299","securities","0"
"300","securities","0"
"301","securities","1"
"302","securities","0"
"303","securities","0"
"304","securities","0"
"305","securities","0"
"306","securities","0"
"307","securities","0"
"308","securities","0"
"309","securities","0"
"310","securities","1"
"311","securities","0"
"312","securities","0"
"313","securities","1"
"314","securities","0"
"315","securities","0"
"316","securities","0"
"317","securities","0"
"318","securities","0"
"319","securities","0"
"320","securities","0"
"321","securities","0"
"322","securities","0"
"323","securities","1"
"324","securities","0"
"325","securities","0"
"326","securities","0"
"327","securities","0"
"328","securities","0"
"329","securities","0"
"330","securities","0"
"331","securities","0"
"332","securities","0"
"333","securities","0"
"334","securities","0"
"335","securities","0"
"336","securities","0"
"337","securities","0"
"338","securities","0"
"339","securities","0"
"340","securities","0"
"341","securities","0"
"342","securities","0"
"343","securities","0"
"344","securities","0"
"345","securities","0"
"346","securities","1"
"347","securities",NA
"348","securities","1"
"349","securities","0"
"350","securities","0"
"351","securities","1"
"352","securities","0"
"353","securities","0"
"354","securities","0"
"355","securities","0"
"356","securities","0"
"357","securities","0"
"358","securities","0"
"359","securities","0"
"360","securities","0"
"361","securities","0"
"362","securities","0"
"363","securities","0"
"364","securities","0"
"365","securities","0"
"366","securities","0"
"367","securities","0"
"368","securities","0"
"369","securities","0"
"370","securities","0"
"371","securities",NA
"372","securities","0"
"373","securities","0"
"374","securities","0"
"375","securities","0"
"376","securities","0"
"377","securities","0"
"378","securities","0"
"379","securities","0"
"380","securities","0"
"381","securities","0"
"382","securities","0"
"383","securities","0"
"384","securities","0"
"385","securities","0"
"386","securities","0"
"387","securities","0"
"388","securities","0"
"389","securities","0"
"390","securities","0"
"391","securities","0"
"392","securities","0"
"393","securities","0"
"394","securities","1"
"395","securities","0"
"396","securities","0"
"397","securities","0"
"398","securities","0"
"399","securities","0"
"400","securities","0"
"401","securities","0"
"402","securities","0"
"403","securities",NA
"404","securities","0"
"405","securities","0"
"406","securities","1"
"407","securities","0"
"408","securities","0"
"409","securities","0"
"410","securities","0"
"411","securities","0"
"412","securities","1"
"413","securities","0"
"414","securities","0"
"415","securities","0"
"416","securities","0"
"417","securities","0"
"418","securities","0"
"419","securities","0"
"420","securities","0"
"421","securities","0"
"422","securities","0"
"423","securities","1"
"424","securities","0"
"425","securities","0"
"426","securities","0"
"427","securities","0"
"428","securities","0"
"429","securities","0"
"430","securities","0"
"431","securities","0"
"432","securities","0"
"433","securities","0"
"434","securities","0"
"435","securities","0"
"436","securities","0"
"437","securities","0"
"438","securities","1"
"439","securities","0"
"440","securities","0"
"441","securities","0"
"442","securities","1"
"443","securities","0"
"444","securities","0"
"445","securities","0"
"446","securities","0"
"447","securities","0"
"448","securities","0"
"449","securities","0"
"450","securities",NA
"451","securities","0"
"452","securities",NA
"453","securities","0"
"454","securities","1"
"455","securities","0"
"456","securities","0"
"457","securities","0"
"458","securities","0"
"459","securities","0"
"460","securities","0"
"461","securities","0"
"462","securities","1"
"463","securities","0"
"464","securities",NA
"465","securities","0"
"466","securities","0"
"467","securities","0"
"468","securities","0"
"469","securities","0"
"470","securities","0"
"471","securities","0"
"472","securities","0"
"473","securities","0"
"474","securities","0"
"475","securities","0"
"476","securities","0"
"477","securities","1"
"478","securities","0"
"479","securities","0"
"480","securities","0"
"481","securities","0"
"482","securities","0"
"483","securities","0"
"484","securities","0"
"485","securities","0"
"486","securities","0"
"487","securities","1"
"488","securities","0"
"489","securities","0"
"490","securities","0"
"491","securities","0"
"492","securities","1"
"493","securities","0"
"494","securities","0"
"495","securities","0"
"496","securities","0"
"497","securities","0"
"498","securities","0"
"499","securities","0"
"500","securities","0"
"501","securities","0"
"502","securities","0"
"503","securities","0"
"504","securities","0"
"505","securities","0"
"506","securities","0"
"507","securities","0"
"508","securities","0"
"509","securities","0"
"510","securities","0"
"511","securities","0"
"512","securities","0"
"513","securities","0"
"514","securities","0"
"515","securities","0"
"516","securities","0"
"517","securities","0"
"518","securities","0"
"519","securities","0"
"520","securities","0"
"521","securities","0"
"522","securities","0"
"523","securities","0"
"524","securities","0"
"525","securities","0"
"526","securities","0"
"527","securities","0"
"528","securities","0"
"529","securities","0"
"530","securities","0"
"531","securities","0"
"532","securities","1"
"533","securities","0"
"534","securities","0"
"535","securities","1"
"536","securities","0"
"537","securities","0"
"538","securities","0"
"539","securities","0"
"540","securities","0"
"541","securities","0"
"542","securities","0"
"543","securities","0"
"544","securities","0"
"545","securities","0"
"546","securities","0"
"547","securities","1"
"548","securities","1"
"549","securities","0"
"550","securities","0"
"551","securities","0"
"552","securities","0"
"553","securities","0"
"554","securities","0"
"555","securities","0"
"556","securities","0"
"557","securities","0"
"558","securities","0"
"559","securities","1"
"560","securities","0"
"561","securities","0"
"562","securities","0"
"563","securities","0"
"564","securities","0"
"565","securities","0"
"566","securities","0"
"567","securities","0"
"568","securities","0"
"569","securities","0"
"570","securities","0"
"571","securities","1"
"572","securities","0"
"573","securities","0"
"574","securities","0"
"575","securities","0"
"576","securities","0"
"577","securities","0"
"578","securities","0"
"579","securities","0"
"580","securities","0"
"581","securities","0"
"582","securities","0"
"583","securities","0"
"584","securities","0"
"585","securities","0"
"586","securities","0"
"587","securities","0"
"588","securities","0"
"589","securities","0"
"590","securities","0"
"591","securities","0"
"592","securities","0"
"593","securities","1"
"594","securities","0"
"595","securities","0"
"596","securities","0"
"597","securities","0"
"598","securities","1"
"599","securities","0"
"600","securities","0"
"601","securities","0"
"602","securities","0"
"603","securities","0"
"604","securities","0"
"605","securities","0"
"606","securities","0"
"607","securities","0"
"608","securities","0"
"609","securities","0"
"610","securities","0"
"611","securities","0"
"612","securities","0"
"613","securities","0"
"614","securities","1"
"615","securities","0"
"616","securities",NA
"617","securities","0"
"618","securities","0"
"619","securities","0"
"620","securities","0"
"621","securities","0"
"622","securities","0"
"623","securities","0"
"624","securities","0"
"625","securities","0"
"626","securities","0"
"627","securities","0"
"628","securities","0"
"629","securities","0"
"630","securities","0"
"631","securities","0"
"632","securities","0"
"633","securities","0"
"634","securities","0"
"635","securities","1"
"636","securities","0"
"637","securities","0"
"638","securities","0"
"639","securities","0"
"640","securities","0"
"641","securities","1"
"642","securities","0"
"643","securities","0"
"644","securities","0"
"645","securities","0"
"646","securities","0"
"647","securities","0"
"648","securities","1"
"649","securities","0"
"650","securities","0"
"651","securities","1"
"652","securities","0"
"653","securities","0"
"654","securities","0"
"655","securities","0"
"656","securities","0"
"657","securities","0"
"658","securities","0"
"659","securities","0"
"660","securities","0"
"661","securities","0"
"662","securities","0"
"663","securities","0"
"664","securities","0"
"665","securities","0"
"666","securities","1"
"667","securities","1"
"668","securities","1"
"669","securities","0"
"670","securities","0"
"671","securities","0"
"672","securities","1"
"673","securities","0"
"674","securities","0"
"675","securities","0"
"676","securities","0"
"677","securities","0"
"678","securities","0"
"679","securities","0"
"680","securities","0"
"681","securities","0"
"682","securities","0"
"683","securities","0"
"684","securities","0"
"685","securities","0"
"686","securities","0"
"687","securities","0"
"688","securities","0"
"689","securities","0"
"690","securities","1"
"691","securities","0"
"692","securities","0"
"693","securities","0"
"694","securities","0"
"695","securities","0"
"696","securities","0"
"697","securities","0"
"698","securities","0"
"699","securities","0"
"700","securities","0"
"701","securities",NA
"702","securities","0"
"703","securities","0"
"704","securities",NA
"705","securities","0"
"706","securities","0"
"707","securities","0"
"708","securities","0"
"709","securities","0"
"710","securities","0"
"711","securities","0"
"712","securities","1"
"713","securities","0"
"714","securities","0"
"715","securities","0"
"716","securities","1"
"717","securities","0"
"718","securities","0"
"719","securities","0"
"720","securities","1"
"721","securities","0"
"722","securities","0"
"723","securities","0"
"724","securities","0"
"725","securities",NA
"726","securities","0"
"727","securities","0"
"728","securities","0"
"729","securities","0"
"730","securities","0"
"731","securities","0"
"732","securities","0"
"733","securities","0"
"734","securities","0"
"735","securities","0"
"736","securities","0"
"737","securities","0"
"738","securities","0"
"739","securities","0"
"740","securities","0"
"741","securities","0"
"742","securities","0"
"743","securities","0"
"744","securities","1"
"745","securities","1"
"746","securities","0"
"747","securities","0"
"748","securities","1"
"749","securities","0"
"750","securities","0"
"751","securities","0"
"752","securities","0"
"753","securities","0"
"754","securities","0"
"755","securities","0"
"756","securities","0"
"757","securities","0"
"758","securities","1"
"759","securities","1"
"760","securities","0"
"761","securities","0"
"762","securities","0"
"763","securities","0"
"764","securities","0"
"765","securities","0"
"766","securities","0"
"767","securities","0"
"768","securities","0"
"769","securities","0"
"770","securities","1"
"771","securities","0"
"772","securities","1"
"773","securities","0"
"774","securities","0"
"775","securities","0"
"776","securities","0"
"777","securities","0"
"778","securities","0"
"779","securities","0"
"780","securities","0"
"781","securities","0"
"782","securities","0"
"783","securities","1"
"784","securities","1"
"785","securities","0"
"786","securities","0"
"787","securities","1"
"788","securities","0"
"789","securities","0"
"790","securities","0"
"791","securities","0"
"792","securities","0"
"793","securities","0"
"794","securities","0"
"795","securities","0"
"796","securities","0"
"797","securities","0"
"798","securities","0"
"799","securities","0"
"800","securities","0"
"801","securities","0"
"802","securities","0"
"803","securities","0"
"804","securities","0"
"805","securities",NA
"806","securities","0"
"807","securities","0"
"808","securities","0"
"809","securities","0"
"810","securities","0"
"811","securities","0"
"812","securities","0"
"813","securities","0"
"814","securities","0"
"815","securities","0"
"816","securities","0"
"817","securities","0"
"818","securities","0"
"819","securities","0"
"820","securities","0"
"821","securities","0"
"822","securities","0"
"823","securities","0"
"824","securities","0"
"825","securities","1"
"826","securities","0"
"827","securities","0"
"828","securities","0"
"829","securities","0"
"830","securities","0"
"831","securities","0"
"832","securities","0"
"833","securities","0"
"834","securities","0"
"835","securities","1"
"836","securities","0"
"837","securities","0"
"838","securities","0"
"839","securities","0"
"840","securities","0"
"841","securities","0"
"842","securities","1"
"843","securities","0"
"844","securities","0"
"845","securities","0"
"846","securities","0"
"847","securities","0"
"848","securities","0"
"849","securities",NA
"850","securities","1"
"851","securities","0"
"852","securities","1"
"853","securities","0"
"854","securities","0"
"855","securities","1"
"856","securities","0"
"857","securities","0"
"858","securities","0"
"859","securities",NA
"860","securities","0"
"861","securities","0"
"862","securities","1"
"863","securities","0"
"864","securities","0"
"865","securities","0"
"866","securities","0"
"867","securities","0"
"868","securities","0"
"869","securities","1"
"870","securities","0"
"871","securities","0"
"872","securities","0"
"873","securities","0"
"874","securities","0"
"875","securities","0"
"876","securities","0"
"877","securities","0"
"878","securities","0"
"879","securities","0"
"880","securities","0"
"881","securities","0"
"882","securities","0"
"883","securities","0"
"884","securities","0"
"885","securities","0"
"886","securities","0"
"887","securities","0"
"888","securities","0"
"889","securities","0"
"890","securities","0"
"891","securities","0"
"892","securities","0"
"893","securities","0"
"894","securities","0"
"895","securities","0"
"896","securities","1"
"897","securities","0"
"898","securities","0"
"899","securities","0"
"900","securities","0"
"901","securities","0"
"902","securities","0"
"903","securities","0"
"904","securities","0"
"905","securities","1"
"906","securities","0"
"907","securities","0"
"908","securities","0"
"909","securities","0"
"910","securities","0"
"911","securities","0"
"912","securities","0"
"913","securities","0"
"914","securities","1"
"915","securities","1"
"916","securities","0"
"917","securities","0"
"918","securities","0"
"919","securities","0"
"920","securities","1"
"921","securities","0"
"922","securities","0"
"923","securities","1"
"924","securities","0"
"925","securities",NA
"926","securities","0"
"927","securities","0"
"928","securities","0"
"929","securities","0"
"930","securities","0"
"931","securities","0"
"932","securities","0"
"933","securities","1"
"934","securities","0"
"935","securities","0"
"936","securities","0"
"937","securities","1"
"938","securities","1"
"939","securities","1"
"940","securities","0"
"941","securities","0"
"942","securities",NA
"943","securities","0"
"944","securities","0"
"945","securities","0"
"946","securities","0"
"947","securities","0"
"948","securities","0"
"949","securities","0"
"950","securities","0"
"951","securities","0"
"952","securities","0"
"953","securities","0"
"954","securities","1"
"955","securities","0"
"956","securities","0"
"957","securities","0"
"958","securities","0"
"959","securities","0"
"960","securities","0"
"961","securities","0"
"962","securities","0"
"963","securities",NA
"964","securities","0"
"965","securities","1"
"966","securities","0"
"967","securities","0"
"968","securities","0"
"969","securities","0"
"970","securities","0"
"971","securities","0"
"972","securities","0"
"973","securities","0"
"974","securities","0"
"975","securities","0"
"976","securities","0"
"977","securities","1"
"978","securities","0"
"979","securities","0"
"980","securities","0"
"981","securities","0"
"982","securities","0"
"983","securities","0"
"984","securities",NA
"985","securities","0"
"986","securities","0"
"987","securities","0"
"988","securities","0"
"989","securities","0"
"990","securities","0"
"991","securities","0"
"992","securities","0"
"993","securities","0"
"994","securities","0"
"995","securities","0"
"996","securities","0"
"997","securities","0"
"998","securities","0"
"999","securities","0"
"1000","securities","0"
"1001","securities","1"
"1002","securities","0"
"1003","securities","0"
"1004","securities","0"
"1005","securities","0"
"1006","securities","1"
"1007","securities","0"
"1008","securities","0"
"1009","securities","0"
"1010","securities","0"
"1011","securities","1"
"1012","securities","0"
"1013","securities","0"
"1014","securities","0"
"1015","securities","0"
"1016","securities","0"
"1017","securities","1"
"1018","securities","0"
"1019","securities","0"
"1020","securities","0"
"1021","securities","0"
"1022","securities","0"
"1023","securities","0"
"1024","securities","0"
"1025","securities","0"
"1026","securities","0"
"1027","securities",NA
"1028","securities",NA
"1029","securities","0"
"1030","securities","0"
"1031","securities","0"
"1032","securities","0"
"1033","securities","0"
"1034","securities","0"
"1035","securities","1"
"1036","securities","1"
"1037","securities","0"
"1038","securities","1"
"1039","securities","0"
"1040","securities","0"
"1041","securities","0"
"1042","securities","0"
"1043","securities","0"
"1044","securities","0"
"1045","securities","0"
"1046","securities","0"
"1047","securities","0"
"1048","securities","0"
"1049","securities","0"
"1050","securities","0"
"1051","securities","0"
"1052","securities","1"
"1053","securities","0"
"1054","securities","0"
"1055","securities","0"
"1056","securities","1"
"1057","securities","0"
"1058","securities","0"
"1059","securities","0"
"1060","securities","0"
"1061","securities","0"
"1062","securities","0"
"1063","securities","0"
"1064","securities","0"
"1065","securities","0"
"1066","securities","0"
"1067","securities","0"
"1068","securities","0"
"1069","securities","1"
"1070","securities","0"
"1071","securities","0"
"1072","securities","0"
"1073","securities","0"
"1074","securities","0"
"1075","securities","0"
"1076","securities","0"
"1077","securities","0"
"1078","securities","0"
"1079","securities","0"
"1080","securities",NA
"1081","securities","0"
"1082","securities","0"
"1083","securities","0"
"1084","securities","1"
"1085","securities","0"
"1086","securities","1"
"1087","securities","0"
"1088","securities","0"
"1089","securities","0"
"1090","securities","0"
"1091","securities","0"
"1092","securities","0"
"1093","securities","1"
"1094","securities","0"
"1095","securities","0"
"1096","securities","0"
"1097","securities","0"
"1098","securities","0"
"1099","securities","0"
"1100","securities","0"
"1101","securities","0"
"1102","securities","0"
"1103","securities","0"
"1104","securities","0"
"1105","securities","0"
"1106","securities","0"
"1107","securities","0"
"1108","securities","0"
"1109","securities","0"
"1110","securities","0"
"1111","securities","0"
"1112","securities","0"
"1113","securities","1"
"1114","securities","0"
"1115","securities","0"
"1116","securities","0"
"1117","securities","0"
"1118","securities",NA
"1119","securities","0"
"1120","securities","0"
"1121","securities","0"
"1122","securities","0"
"1123","securities","0"
"1124","securities","0"
"1125","securities","0"
"1126","securities","0"
"1127","securities","0"
"1128","securities","0"
"1129","securities","0"
"1130","securities","0"
"1131","securities","0"
"1132","securities","0"
"1133","securities","1"
"1134","securities","0"
"1135","securities","0"
"1136","securities","1"
"1137","securities","1"
"1138","securities","1"
"1139","securities","1"
"1140","securities","0"
"1141","securities","0"
"1142","securities","0"
"1143","securities","0"
"1144","securities","0"
"1145","securities","0"
"1146","securities","0"
"1147","securities","1"
"1148","securities","0"
"1149","securities","0"
"1150","securities","0"
"1151","securities","0"
"1152","securities","1"
"1153","securities",NA
"1154","securities","0"
"1155","securities","0"
"1156","securities","0"
"1157","securities","0"
"1158","securities","0"
"1159","securities","0"
"1160","securities","0"
"1161","securities","1"
"1162","securities","0"
"1163","securities","0"
"1164","securities","0"
"1165","securities","1"
"1166","securities","0"
"1167","securities","0"
"1168","securities","0"
"1169","securities","0"
"1170","securities","0"
"1171","securities","0"
"1172","securities","0"
"1173","securities","1"
"1174","securities","0"
"1175","securities","0"
"1176","securities","0"
"1177","securities","0"
"1178","securities","1"
"1179","securities","0"
"1180","securities","1"
"1181","securities","0"
"1182","securities","1"
"1183","securities","0"
"1184","securities","0"
"1185","securities","0"
"1186","securities","0"
"1187","securities","0"
"1188","securities","1"
"1189","securities","1"
"1190","securities","0"
"1191","securities",NA
"1192","securities","0"
"1193","securities","0"
"1194","securities","0"
"1195","securities","0"
"1196","securities","0"
"1197","securities","0"
"1198","securities","0"
"1199","securities","0"
"1200","securities","0"
"1201","securities","1"
"1202","securities","0"
"1203","securities","0"
"1204","securities","0"
"1205","securities","0"
"1206","securities","0"
"1207","securities","0"
"1208","securities","0"
"1209","securities","0"
"1210","securities","0"
"1211","securities","0"
"1212","securities","0"
"1213","securities","0"
"1214","securities","0"
"1215","securities","0"
"1216","securities","0"
"1217","securities","1"
"1218","securities","0"
"1219","securities","0"
"1220","securities","0"
"1221","securities","0"
"1222","securities","0"
"1223","securities","0"
"1224","securities","0"
"1225","securities","0"
"1226","securities","0"
"1227","securities","0"
"1228","securities","0"
"1229","securities","0"
"1230","securities","0"
"1231","securities","0"
"1232","securities","1"
"1233","securities","0"
"1234","securities","0"
"1235","securities","0"
"1236","securities","0"
"1237","securities","0"
"1238","securities","0"
"1239","securities","0"
"1240","securities","0"
"1241","securities","0"
"1242","securities","1"
"1243","securities","0"
"1244","securities","0"
"1245","securities","0"
"1246","securities","0"
"1247","securities","0"
"1248","securities","0"
"1249","securities","0"
"1250","securities",NA
"1251","securities","0"
"1252","securities","0"
"1253","securities","0"
"1254","securities","0"
"1255","securities","0"
"1256","securities",NA
"1257","securities","0"
"1258","securities","0"
"1259","securities","0"
"1260","securities","0"
"1261","securities","0"
"1262","securities","0"
"1263","securities","0"
"1264","securities","0"
"1265","securities","0"
"1266","securities","0"
"1267","securities","0"
"1268","securities","1"
"1269","securities","0"
"1270","securities","0"
"1271","securities","0"
"1272","securities",NA
"1273","securities","0"
"1274","securities","0"
"1275","securities","0"
"1276","securities","0"
"1277","securities","0"
"1278","securities","0"
"1279","securities","0"
"1280","securities","0"
"1281","securities","0"
"1282","securities","0"
"1283","securities","0"
"1284","securities","0"
"1285","securities","0"
"1286","securities","0"
"1287","securities","0"
"1288","securities","0"
"1289","securities","0"
"1290","securities","0"
"1291","securities","0"
"1292","securities","1"
"1293","securities","0"
"1294","securities","0"
"1295","securities","0"
"1296","securities","0"
"1297","securities","0"
"1298","securities","0"
"1299","securities","0"
"1300","securities","1"
"1301","securities","0"
"1302","securities","0"
"1303","securities",NA
"1304","securities","1"
"1305","securities","0"
"1306","securities","0"
"1307","securities","0"
"1308","securities","0"
"1309","securities","0"
"1310","securities","0"
"1311","securities","0"
"1312","securities","0"
"1313","securities","0"
"1314","securities","0"
"1315","securities","0"
"1316","securities","0"
"1317","securities","0"
"1318","securities","0"
"1319","securities","0"
"1320","securities","0"
"1321","securities",NA
"1322","securities","0"
"1323","securities","1"
"1324","securities","0"
"1325","securities","0"
"1326","securities","0"
"1327","securities","1"
"1328","securities","0"
"1329","securities","0"
"1330","securities","0"
"1331","securities","0"
"1332","securities","0"
"1333","securities","0"
"1334","securities","0"
"1335","securities","0"
"1336","securities","0"
"1337","securities","0"
"1338","securities","0"
"1339","securities","0"
"1340","securities","0"
"1341","securities","0"
"1342","securities","0"
"1343","securities","0"
"1344","securities","0"
"1345","securities","1"
"1346","securities","0"
"1347","securities","0"
"1348","securities","0"
"1349","securities","0"
"1350","securities","0"
"1351","securities","0"
"1352","securities","0"
"1353","securities","0"
"1354","securities","0"
"1355","securities","0"
"1356","securities","0"
"1357","securities","0"
"1358","securities","0"
"1359","securities","0"
"1360","securities","0"
"1361","securities","0"
"1362","securities","0"
"1363","securities","0"
"1364","securities","0"
"1365","securities","0"
"1366","securities","0"
"1367","securities","0"
"1368","securities","0"
"1369","securities","0"
"1370","securities","0"
"1371","securities","0"
"1372","securities","0"
"1373","securities","0"
"1374","securities","0"
"1375","securities","0"
"1376","securities","0"
"1377","securities","0"
"1378","securities","0"
"1379","securities","0"
"1380","securities","0"
"1381","securities","0"
"1382","securities","0"
"1383","securities","0"
"1384","securities",NA
"1385","securities","0"
"1386","securities","0"
"1387","securities","0"
"1388","securities","0"
"1389","securities","0"
"1390","securities","0"
"1391","securities","0"
"1392","securities","0"
"1393","securities","0"
"1394","securities","0"
"1395","securities","0"
"1396","securities","0"
"1397","securities","0"
"1398","securities","0"
"1399","securities","0"
"1400","securities","0"
"1401","securities","0"
"1402","securities","0"
"1403","securities",NA
"1404","securities","1"
"1405","securities","0"
"1406","securities","0"
"1407","securities","0"
"1408","securities","0"
"1409","securities","0"
"1410","securities",NA
"1411","securities","0"
"1412","securities","0"
"1413","securities","0"
"1414","securities","0"
"1415","securities","1"
"1416","securities","0"
"1417","securities","0"
"1418","securities","0"
"1419","securities","1"
"1420","securities","0"
"1421","securities",NA
"1422","securities","0"
"1423","securities","0"
"1424","securities","0"
"1425","securities","0"
"1426","securities","0"
"1427","securities","0"
"1428","securities","0"
"1429","securities","0"
"1430","securities","0"
"1431","securities","0"
"1432","securities","0"
"1433","securities","0"
"1434","securities","0"
"1435","securities","0"
"1436","securities","0"
"1437","securities","0"
"1438","securities","0"
"1439","securities","1"
"1440","securities","0"
"1441","securities","0"
"1442","securities","0"
"1443","securities","1"
"1444","securities","0"
"1445","securities","1"
"1446","securities","0"
"1447","securities","0"
"1448","securities",NA
"1449","securities","0"
"1450","securities","0"
"1451","securities","0"
"1452","securities","0"
"1453","securities","0"
"1454","securities","0"
"1455","securities","0"
"1456","securities","0"
"1457","securities","0"
"1458","securities","0"
"1459","securities","0"
"1460","securities",NA
"1461","securities","0"
"1462","securities","0"
"1463","securities","0"
"1464","securities",NA
"1465","securities","0"
"1466","securities","0"
"1467","securities","0"
"1468","securities","0"
"1469","securities","0"
"1470","securities","0"
"1471","securities","0"
"1472","securities","0"
"1473","securities","0"
"1474","securities","0"
"1475","securities","0"
"1476","securities","0"
"1477","securities","0"
"1478","securities","0"
"1479","securities","0"
"1480","securities","0"
"1481","securities","0"
"1482","securities","1"
"1483","securities","0"
"1484","securities","1"
"1485","securities","1"
"1486","securities","0"
"1487","securities","0"
"1488","securities","0"
"1489","securities","0"
"1490","securities","0"
"1491","securities","0"
"1492","securities","0"
"1493","securities","0"
"1494","securities","0"
"1495","securities","0"
"1496","securities","0"
"1497","securities","0"
